OBJECTID,Census_Tract,EHD_Rank,SHAPE_Length,SHAPE_Area
700,53005010701,3,42222.933755795,78078684.6442398
701,53005010703,4,56984.8745748489,106341876.041451
702,53005010814,2,71386.0780691129,197829593.355802
703,53005010810,5,18028.0132107264,12295538.9279318
704,53005010811,1,29069.5977025465,48331200.4125615
705,53005010807,6,71687.1875558714,203478766.837194
706,53005010705,5,18245.8414827742,15586582.9683929
707,53005011504,3,28591.4951210326,27622394.3022285
708,53005011503,5,75897.8946223735,176302950.104828
709,53005010813,2,28399.6579720324,42841030.1096518
710,53005010809,5,13018.3692319725,7973608.45291753
711,53005010707,1,18832.7709047602,11677390.0828165
712,53005010805,3,31235.9423534378,27221668.7704001
713,53075000700,2,270808.261307207,1941472565.02089
714,53075000800,4,155647.327980245,759371985.280562
715,53075001000,3,448080.59155418,3869935518.55955
716,53075000200,5,70241.3422893583,232638877.909226
717,53075000300,2,98820.0111443382,344210424.588021
718,53075000400,5,75701.800773939,290953429.90853
719,53075000500,5,7875.52917162728,3131902.30820493
720,53075000600,5,58598.5541008226,179280378.747527
721,53075000100,7,7247.002862364,3117973.83265882
722,53075000900,5,397411.571149974,4452022735.275
723,53065950700,3,36535.7634461437,34755300.7540962
724,53065950800,1,300924.489631084,1690128932.00749
725,53065950900,1,281865.331325927,1636000193.49423
726,53065950200,5,289008.294920738,1218315662.00006
727,53065950300,5,16542.5276214853,10936679.4796825
728,53065950500,5,23599.2709009075,15925806.5027658
729,53065950600,2,282522.670154656,1690373278.54503
730,53065950100,2,442102.327031563,4172166888.81187
731,53065951300,3,241306.712374655,1084772560.83032
732,53065951400,3,150046.019833328,577592989.965503
733,53065941000,4,222356.445211782,1411263751.67465
734,53065951100,2,194736.459464398,1375273074.67641
735,53033022006,6,9658.33496119014,3109126.36884322
736,53033032320,4,25413.1526321946,21211194.1510654
737,53033031703,6,18116.7426612506,16960272.44422
738,53033031206,6,16079.7743047174,8108560.12808061
739,53033032102,2,58947.9166587012,173200731.158578
740,53033032210,5,47969.39204829,91752749.7521025
741,53033032211,2,13865.7270023111,6535472.14626412
742,53033032104,8,31837.4574552619,49237428.5661883
743,53033032313,6,24682.6543792769,29815837.1853105
744,53033032203,3,28001.1126718577,30448311.069195
745,53033032703,4,33361.5212116267,22995061.206222
746,53033032704,3,48104.8976288102,38544977.4596044
747,53033027300,10,11772.7913260182,7783994.174207
748,53033027200,10,14102.4430416554,7457399.50203513
749,53033027100,10,9813.37015919246,3431233.68087594
750,53033027000,10,8655.94984872095,4359349.1398933
751,53033026802,10,9772.01406909343,4496942.0369635
752,53033026801,10,10145.2714847567,3382706.18337716
753,53033026700,9,12426.5252837717,7672214.59653424
754,53033026600,7,7197.7593558034,2542156.51387528
755,53033000800,2,6976.10031616989,2519880.18263834
756,53033000700,9,7339.17142789757,2858279.60722793
757,53033000600,8,14361.1204304634,8473859.86620719
758,53033000500,1,13095.7745064426,8425415.44543971
759,53033000402,6,9694.78570156256,3971714.07033898
760,53033000401,8,7142.89742324496,3012353.60715137
761,53033000300,7,7820.91738777241,2673984.82985873
762,53033000200,8,10920.6893913372,7258305.43922876
763,53033000100,8,11113.8942223393,7502493.93083352
764,53033032500,1,144391.203338347,480636860.513249
765,53033031907,8,22242.0722679075,12104016.982303
766,53033031800,5,35333.5103371435,61477007.4271577
767,53033032002,4,43529.8886297105,60677104.4988642
768,53033032003,3,90773.4060891241,267406061.70797
769,53033031704,8,16786.274350433,12535583.4245208
770,53033032005,6,18742.7799480867,13992463.1103305
771,53033032006,5,20595.0299730062,16847425.343489
772,53033032207,1,19971.4903103172,12362388.4752163
773,53033021803,2,14387.7008441939,7255501.97576662
774,53033032602,4,39769.20333575,67589505.039125
775,53033032702,2,249304.536757086,1143710157.26461
776,53033032800,4,303297.133113376,3121225483.18109
777,53033026500,9,12433.1970021406,4371485.07008266
778,53033026400,10,20808.4661289395,11126751.4439935
