"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"166",2018-08-14,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"167",2018-08-15,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"168",2018-08-16,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"169",2018-08-17,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"170",2018-08-18,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"171",2018-08-19,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"172",2018-08-20,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"173",2018-08-21,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"174",2018-08-22,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"175",2018-08-23,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"176",2018-08-24,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"177",2018-08-25,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"178",2018-08-26,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"179",2018-08-27,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"180",2018-08-28,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"181",2018-08-29,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"182",2018-08-30,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"183",2018-08-31,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"184",2018-09-01,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"185",2018-09-02,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"186",2018-09-03,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"187",2018-09-04,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"188",2018-09-05,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"189",2018-09-06,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"190",2018-09-07,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"191",2018-09-08,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"192",2018-09-09,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"193",2018-09-20,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"194",2018-09-21,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"195",2018-09-22,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"196",2018-09-23,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"197",2018-09-24,18,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"198",2018-09-25,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"199",2018-09-26,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"200",2018-09-27,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"201",2018-09-28,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"202",2018-09-29,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"203",2018-09-30,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"204",2018-10-01,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"205",2018-10-02,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"206",2018-10-03,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"207",2018-10-04,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"208",2018-10-05,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"209",2018-10-06,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"210",2018-10-07,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
